ID	Модуль	Название	Описание	Предусловия	Шаги	Ожидаемый результат	Приоритет	Статус
TC-001	Авторизация	Успешный вход с валидными данными	Проверка успешной авторизации с корректными учетными данными	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Открывается главный экран приложения	Высокий	Автоматизирован
TC-002	Авторизация	Вход с невалидным логином	Проверка обработки некорректного логина	Приложение запущено	1. Ввести логин "lflkigm"<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-003	Авторизация	Вход с невалидным паролем	Проверка обработки некорректного пароля	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести пароль "pass1234"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-004	Авторизация	Вход с пустым логином	Проверка валидации пустого поля логина	Приложение запущено	1. Оставить поле логина пустым<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Высокий	Автоматизирован
TC-005	Авторизация	Вход с пустым паролем	Проверка валидации пустого поля пароля	Приложение запущено	1. Ввести логин "login2"<br>2. Оставить поле пароля пустым<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Высокий	Автоматизирован
TC-006	Авторизация	Вход с пустыми полями логина и пароля	Проверка валидации полностью пустой формы	Приложение запущено	1. Оставить поле логина пустым<br>2. Оставить поле пароля пустым<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Высокий	Автоматизирован
TC-007	Авторизация	Ввод пробелов в поле логин	Проверка обработки пробелов в логине	Приложение запущено	1. Ввести пробелы в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Средний	Автоматизирован
TC-008	Авторизация	Ввод пробелов в поле пароль	Проверка обработки пробелов в пароле	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести пробелы в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Средний	Автоматизирован
TC-009	Авторизация	Ввод спецсимволов в поле логин	Проверка обработки спецсимволов в логине	Приложение запущено	1. Ввести "!%~*?" в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Низкий	Автоматизирован
TC-010	Авторизация	Ввод спецсимволов в поле пароль	Проверка обработки спецсимволов в пароле	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести "!%~*?" в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Низкий	Автоматизирован
